,register_id,Name,Neighborhood ID,Neighborhood Name,District ID,District Name,Service Type,Latitude,Longitude
90,﻿99400496400,Escola Universitària d'Hostaleria i Turisme-CETT,41.0,la Vall d'Hebron,7.0,Horta-Guinardó,Universitats,41.434850603451615,2.1481555636305814
91,﻿99400478387,Institut Escola El Til·ler,59.0,el Bon Pastor,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.43851226233614,2.20266592075902
94,﻿96171173136,Facultat d'Humanitats - UIC,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.406033260654574,2.123231960089889
95,﻿99400514781,Fundació Barcelonabeta Brain Research Center,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38934307942733,2.189878364819311
96,﻿99400495914,Facultat de Dret - UIC,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.40603314174738,2.1232317224121497
97,﻿93049133245,Escola Cervantes,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària",41.38735392112421,2.1770820552623897
99,﻿99400319127,Centre Educatiu Forma't,15.0,Hostafrancs,3.0,Sants-Montjuïc,"Adults, Formació professional",41.37451457608572,2.143796010890021
101,﻿99400319273,Escola per a Infants i Adolescents,40.0,Montbau,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.42804943371883,2.1434499797388105
104,﻿99400014241,Facultat d'Educació Social i Treball Social Pere Tarrés - URL,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,Universitats,41.39559121946946,2.1457683225939386
105,﻿98173111439,Escola Tres Pins,11.0,el Poble-sec,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.3670155512874,2.159915577898196
107,﻿99400013678,Institut Vall d'Hebron,39.0,Sant Genís dels Agudells,7.0,Horta-Guinardó,"Educació secundària, Formació professional",41.42293079126446,2.1410874275389915
109,﻿99400050401,Fundació Salut i Envelliment UAB,35.0,el Guinardó,7.0,Horta-Guinardó,Universitats,41.41379174747705,2.176910232352591
110,﻿98292103841,Centre Educatiu Frederic Mistral-Tècnic Eulàlia,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.415815232630926,2.132994795549118
113,﻿99400709228,Centre Educatiu Barcelona Vitae Nou Barris,45.0,Porta,8.0,Nou Barris,Formació professional,41.435431633542514,2.1800941010622124
114,﻿92168166213,Escola Seat,13.0,la Marina de Port,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.36004942767377,2.1384266320287693
116,﻿92168166245,Escola Tàber,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.40093198985838,2.112411119338429
118,﻿92168166356,Institut Joan Brossa,33.0,el Baix Guinardó,7.0,Horta-Guinardó,"Educació secundària, Formació professional",41.41502759794825,2.166865625032984
120,﻿92168166362,Escola Víctor Català,52.0,la Prosperitat,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.43943539520372,2.176865748121006
122,﻿92086009585,Escola Massana Centre Municipal d'Art i Disseny,1.0,el Raval,1.0,Ciutat Vella,Universitats,41.380953983657726,2.1708053338176225
123,﻿92168166371,Centre Educatiu Virolai,37.0,el Carmel,7.0,Horta-Guinardó,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària, Formació professional",41.41785879011815,2.1525177085636917
128,﻿92168164904,Escola Dolors Monserdà-Santapau,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.40526827246749,2.1153340874935034
130,﻿92168164922,Escola Eduard Marquina,70.0,el Besòs i el Maresme,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.418433726641325,2.2140737280233225
132,﻿92086001994,Facultat de Farmàcia i Ciències de l'Alimentació - UB,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38549197752809,2.119168154034765
133,﻿92086002025,Facultat d'Informàtica - UPC,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38790151896208,2.1146704334958524
134,﻿92086010741,Centre Estudis Universitat California i Illinois,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
135,﻿99349094504,Institut Escola Costa i Llobera,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40196489590419,2.1089306933420966
138,﻿99400061319,Centre Dona i Literatura,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
139,﻿75990475941,Centre Educatiu Sopeña Barcelona,17.0,Sants - Badal,3.0,Sants-Montjuïc,"Educació secundària, Formació professional",41.37811124129735,2.128380614084981
141,﻿92086003202,Escola de Música,31.0,la Vila de Gràcia,6.0,Gràcia,Música,41.404734139288166,2.156423120771882
142,﻿92086036962,Facultat de Ciències Polítiques i Socials - UPF,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.390029580136975,2.1908716995715816
143,﻿92086001752,Institut Joan Salvat-Papasseit,3.0,la Barceloneta,1.0,Ciutat Vella,Educació secundària,41.38144005668372,2.192413963362347
144,﻿99272140701,Biblioteca,7.0,la Dreta de l'Eixample,2.0,Eixample,"Biblioteques, Universitats",41.38785930522818,2.168177581579306
146,﻿92168164915,Escola Duran i Bas,19.0,les Corts,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària",41.385280979372205,2.1332974994397182
148,﻿92168164921,Institut Escola Mirades,37.0,el Carmel,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.42633140439301,2.1531524452640567
151,﻿92168164967,Escola Els Horts,73.0,la Verneda i la Pau,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.42429729902253,2.201367249809121
153,﻿92168165003,Centre Educatiu Escolàpies Llúria-Barcelona,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.394337909215984,2.168008408286293
157,﻿92168165251,Centre Educatiu Joan Pelegrí,15.0,Hostafrancs,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària, Formació professional",41.37587008897511,2.14454959168278
161,﻿92168165272,Institut Escola Eixample,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39141598738827,2.16177997203942
164,﻿92086007263,Institut Jaume Balmes,7.0,la Dreta de l'Eixample,2.0,Eixample,"Educació secundària, Formació professional",41.392605941013386,2.1671511535111376
166,﻿92086013953,Escola de Música Aula de Música 7,7.0,la Dreta de l'Eixample,2.0,Eixample,Música,41.39886805495827,2.1697610759866617
167,﻿92086007273,Institut Nou Barris,52.0,la Prosperitat,8.0,Nou Barris,Educació secundària,41.44059217516373,2.1805551603178746
168,﻿92168166307,Escola Torrent  Melis,35.0,el Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.41708143014222,2.171881720640319
170,﻿92086007290,Institut Icària,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Educació secundària,41.39363829928281,2.1966116595086373
171,﻿92168166330,Escola Turó del Cargol,30.0,la Salut,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària",41.41124524522704,2.152480292670107
173,﻿92086007295,Institut Montserrat,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,Educació secundària,41.40187095521701,2.14309785173122
175,﻿92086008087,Centre Educatiu Ramón y Cajal,7.0,la Dreta de l'Eixample,2.0,Eixample,Formació professional,41.39905349511968,2.164738940810504
176,﻿92086033600,Facultat de Ciències Econòmiques i Empresarials - UPF,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38924681822701,2.190983335170805
177,﻿92086007347,Institut L'Alzina,62.0,el Congrés i els Indians,9.0,Sant Andreu,Educació secundària,41.4245692469061,2.178988086911537
178,﻿92086007532,Institut Barri Besòs,70.0,el Besòs i el Maresme,10.0,Sant Martí,Educació secundària,41.41128307627562,2.21290683597758
179,﻿99400096279,Centre Especial de Recerca en Teories i Pràctiques Superadores de Desigualtats,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.43575541409688,2.147158169831797
180,﻿94080141255,Escola Superior de Comerç Internacional,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Universitats,41.38800347000207,2.182053704014178
181,﻿75990020151,Institució Cultural del C.I.C.,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,"Idiomes, Formació professional",41.397697285981785,2.1388954166038783
183,﻿75990057201,Centre Educatiu  Princesa Margarita,36.0,la Font d'en Fargues,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.42620869422536,2.1658543596995137
186,﻿199193656,Jam Session Escola de Música,14.0,la Font de la Guatlla,3.0,Sants-Montjuïc,Música,41.37207509307847,2.146435570974566
187,﻿92086004835,Institut Valldemossa,45.0,Porta,8.0,Nou Barris,Educació secundària,41.43438695568421,2.180535772369523
188,﻿92086002081,Facultat de Biologia - UB,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38537847387165,2.1170443890573285
189,﻿92086000114,Institut Rubió i Tudurí,59.0,el Bon Pastor,9.0,Sant Andreu,Formació professional,41.43907565411945,2.2070013035465075
190,﻿92086015682,Institut de Ciències de l'Educació de la Universitat de Barcelona,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.43575541409688,2.147158169831797
191,﻿92086003692,Institut Universitari del  Pròxim Orient Antic,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
192,﻿1066143504,Institut de Matemàtica,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
193,﻿92086001948,Escola Tècnica Superior d'Arquitectura de Barcelona - UPC,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.384423505592665,2.113370660627247
194,﻿92086002687,Institut de Ciències Polítiques i Socials,7.0,la Dreta de l'Eixample,2.0,Eixample,Universitats,41.39309643628034,2.16173532171433
195,﻿75990630766,Fundació Aula Aegyptiaca,7.0,la Dreta de l'Eixample,2.0,Eixample,Universitats,41.38956149722731,2.162534743579912
196,﻿92168165320,Escola Ítaca,19.0,les Corts,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària",41.38838232973607,2.134029525864466
198,﻿92086000938,Centre Universitari EAE,9.0,la Nova Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38034947242665,2.1489708474391604
199,﻿92168165393,"Centre Educatiu Jesús, Maria i Josep",60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.428623982737015,2.1918794854045887
202,﻿92168165472,Escola la Farigola de Vallcarca,28.0,Vallcarca i els Penitents,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària",41.4138319736047,2.146680968580762
204,﻿92168165473,Escola La Farigola del Clot,65.0,el Clot,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.405862270546855,2.188088422236328
206,﻿92086014664,Centre d'Estudis Històrics Internacionals,41.0,la Vall d'Hebron,7.0,Horta-Guinardó,Universitats,41.43084545648815,2.151482440531504
207,﻿99400498166,Centre Educatiu Nou Patufet,31.0,la Vila de Gràcia,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40476898599986,2.160721107653559
210,﻿92086021242,Institut Anna Gironella de Mundet,40.0,Montbau,7.0,Horta-Guinardó,"Educació secundària, Formació professional",41.435759593982205,2.147163094335721
212,﻿1117105643,Escola Universitària d'Infermeria - UAB,35.0,el Guinardó,7.0,Horta-Guinardó,Universitats,41.41241647123583,2.1757600481895056
213,﻿98293161643,Granja-Escola Sinaí,6.0,la Sagrada Família,2.0,Eixample,"Adults, Formació professional",41.40931342894633,2.1732496979114297
215,﻿93125101404,Escola Pompeu Fabra,62.0,el Congrés i els Indians,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.42176963946599,2.183387199234325
217,﻿354173408,Escola Politècnica Superior d'Edificació de Barcelona - UPC,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,"Sales d'estudi, Universitats",41.383756336159095,2.1127595762315243
219,﻿92086021606,Centre d'Història Contemporània de Catalunya,3.0,la Barceloneta,1.0,Ciutat Vella,Universitats,41.3808386412199,2.1858736814996145
220,﻿92086021611,Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch,1.0,el Raval,1.0,Ciutat Vella,Universitats,41.38391450226559,2.1668129104163323
221,﻿99014101510,Escola de Bosc de Montjuïc,11.0,el Poble-sec,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.36920994679894,2.1610540123451862
223,﻿1108125936,Grup d'Estudi i Conservació dels Mamifers Marins,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38186963690709,2.116458918258774
224,﻿92086002917,Institut Menéndez y Pelayo,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,Educació secundària,41.40007443665589,2.1448129112351144
225,﻿92168165918,Centre Educatiu Prínceps 23 d'Abril,51.0,Verdun,8.0,Nou Barris,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària",41.43960663778714,2.1747036678359866
228,﻿92168165958,Escola Ramon Llull,5.0,el Fort Pienc,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.40089123271555,2.1778010071630134
230,﻿92168165971,Centre Educatiu Reina Elisenda,30.0,la Salut,6.0,Gràcia,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària",41.413484039930026,2.153373576136896
233,﻿92168165979,Escola Poeta Foix,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.40230396822659,2.1458792280425274
235,﻿99400145404,Institut de Recerca de la Biodiversitat,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38537847387165,2.1170443890573285
236,﻿99400145423,Institut de Biomedicina,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38537847387165,2.1170443890573285
237,﻿99400145444,Centre de Recerca d'Estudis de Ciutadania i Societat Civil,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38226329588716,2.1155478041707734
238,﻿99400145507,Centre de Recerca en Enginyeria Biomèdica,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38387760418612,2.113464402113061
239,﻿99400092745,Unitat Docent Hospital Universitari de la Santa Creu i Sant Pau,35.0,el Guinardó,7.0,Horta-Guinardó,Universitats,41.41241647123583,2.1757600481895056
240,﻿99400145333,Centre de Comunicacions Avançades de Banda Ampla,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38959072976704,2.115594320152307
241,﻿99400145336,Centre de Desenvolupament Acústic,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.40624012732789,2.132487589410652
242,﻿99400145385,Centre de Llenguatge i Computació,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38226329588716,2.1155478041707734
243,﻿99400185954,Centre Educatiu de Justícia  Can Llupià,43.0,Horta,7.0,Horta-Guinardó,Educació secundària,41.44100698737053,2.146743735511176
244,﻿99400178612,Centre Tecnològic de l'Aigua,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38952946529558,2.1175727710884056
245,﻿93068174518,Facultat de Psicologia i Ciències de l'Educació i de l'Esport Blanquerna - URL,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.41191420929642,2.1333279293214424
246,﻿93071120350,Facultat de Filosofia La Salle - URL,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38784455590361,2.163452092831893
247,﻿95255113917,Centre Educatiu Grey,48.0,la Guineueta,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.43847935666648,2.172200104455579
249,﻿92168165525,Escola Mediterrània,3.0,la Barceloneta,1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària",41.37944683668936,2.1921689125554478
251,﻿99400213357,Facultat de Comunicació *Campus de la Comunicació-Poblenou - UPF,66.0,el Parc i la Llacuna del Poblenou,10.0,Sant Martí,Universitats,41.40383610308015,2.1933428895948404
252,﻿92168166216,Institut Josep Serrat i Bonastre,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,"Educació secundària, Formació professional",41.40652550464127,2.148111979836685
254,﻿92168166344,Centre Educatiu Valldaura,52.0,la Prosperitat,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.44224501898773,2.180028816251742
257,﻿92168166349,Centre Educatiu Vedruna Gràcia Barcelona,31.0,la Vila de Gràcia,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40471777195005,2.151415793082498
260,﻿99400222539,Escola L'Univers,31.0,la Vila de Gràcia,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària",41.403023600259,2.162411332550266
262,﻿93111142859,Centre Educatiu Jesús Maria,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.43129768790304,2.1835842437481827
265,﻿99400177848,Escola Municipal de Música Nou Barris,45.0,Porta,8.0,Nou Barris,Música,41.43127325717091,2.181570818067009
266,﻿92168164909,Escola Dovella,64.0,el Camp de l'Arpa del Clot,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41138686621241,2.185735644870212
268,﻿92168164947,Escola el Polvorí,13.0,la Marina de Port,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.363675852978446,2.1428964534405965
270,﻿92168164954,Escola Timbaler del Bruc,44.0,Vilapicina i la Torre Llobeta,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.428458064742514,2.177460524074598
272,﻿92168165502,Centre Educatiu La Salle Comtal,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38798645267699,2.175238245379301
275,﻿92168165505,Centre Educatiu La Salle Gràcia,31.0,la Vila de Gràcia,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària, Formació professional",41.40693632168589,2.155098850329748
279,﻿92168165515,Institut Escola Elisabets,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38383512912371,2.1682010889197034
