Neighborhood ID,Neighborhood Name,Number of Services,Distances,Centers Type,Avg. Population Age,Avg. Population Life Expectancy,Population Deaths Rate,Population Premature Deaths (<70) Rate,Population Children Deaths Rate,Notifiable Diseases Rate,People with 4 or more Chronic Disorders (%),People with Overweight or Obesity (%),Low Weight Births (%),People at risk of Poor Mental Health (%),Habitual Smokers (%),Problematic Drug Use Index (ICPD),Territorial Socioeconomic Index (IST),Avg. Gini Index (%),Population Density (hab/ha),Net Population Density (hab/residential ha)
29,el Coll,4,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",43.066,85.5,526.7,3299.3,0.0,230.421,22.2,40.6,5.5,24.0,18.2,-0.55,108.9,32.8,215,611
30,la Salut,22,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",44.453,82.4,1013.2,2967.2,0.0,242.098,22.2,40.6,5.9,24.0,18.2,-0.52,118.1,31.95,205,680
31,la Vila de Gràcia,64,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",42.297,84.8,869.3,1901.2,0.0,399.707,22.2,40.6,3.5,24.0,18.2,-0.71,117.4,33.45,375,589
32,el Camp d'en Grassot i Gràcia Nova,31,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",44.834,85.3,958.7,2800.5,0.0,333.326,22.2,52.5,8.3,24.0,18.2,-0.79,117.7,30.96,537,907
33,el Baix Guinardó,20,,"Pharmacy, Day center for the elderly, Residence for the elderly",45.877,84.7,1111.1,2645.7,0.0,243.046,31.0,52.5,6.5,27.5,17.0,-1.02,112.6,30.842,455,1079
34,Can Baró,12,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.576,83.8,1023.6,2477.3,0.0,298.947,31.0,52.5,4.9,27.5,17.0,-0.01,107.4,31.471,240,645
35,el Guinardó,37,,"Pharmacy, Day center for the elderly, Residence for the elderly",44.105,85.7,1024.5,2286.3,0.0,229.485,31.0,52.5,5.0,27.5,17.0,-0.74,110.3,31.58,282,710
36,la Font d'en Fargues,14,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",45.234,85.3,1091.1,3313.9,0.0,215.654,31.0,52.5,5.3,27.5,17.0,-0.69,118.7,31.043,144,244
37,el Carmel,25,,"Pharmacy, Day center for the elderly, Residence for the elderly",43.821,84.6,858.6,2360.1,0.0,279.198,31.0,52.5,5.4,27.5,17.0,0.19,92.6,28.768,345,822
38,la Teixonera,11,,"Pharmacy, Day center for the elderly, Residence for the elderly",43.724,83.6,815.7,2894.7,0.0,262.821,31.0,52.5,6.3,27.5,17.0,-0.6,99.1,30.062,353,707
39,Sant Genís dels Agudells,10,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Residence for the elderly, Day center for the elderly",44.588,82.9,1288.1,2431.3,0.0,258.711,31.0,52.5,7.0,27.5,17.0,-0.84,100.0,29.5,43,430
40,Montbau,18,,"Pharmacy, Day center for the elderly, Residence for the elderly",46.425,80.2,1979.0,7000.0,0.0,258.864,31.0,52.5,6.1,27.5,17.0,0.18,106.9,29.2,25,447
41,la Vall d'Hebron,5,,"CAP (Primary Healthcare Center), Residence for the elderly, Hospital & Clinic, Pharmacy, Day center for the elderly",47.975,84.7,1240.0,4837.3,0.0,167.86,31.0,52.5,5.7,27.5,17.0,-0.75,115.2,27.15,79,813
42,,0,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",36.854,82.0,737.5,0.0,0.0,239.952,31.0,52.5,5.0,27.5,17.0,-0.27,104.7,29.6,39,114
43,Horta,36,,"Pharmacy, Day center for the elderly, Residence for the elderly",44.497,84.9,959.8,2283.7,0.0,181.722,31.0,50.3,8.0,27.5,17.0,-0.32,102.9,29.676,90,439
44,Vilapicina i la Torre Llobeta,24,,"CAP (Primary Healthcare Center), Pharmacy, Residence for the elderly",45.713,85.6,1060.6,3084.8,0.0,221.031,30.8,50.3,6.7,34.4,18.6,-0.68,104.1,29.516,455,875
45,Porta,17,,Pharmacy,43.876,85.4,1036.3,2431.6,6.6,245.178,30.8,50.3,5.8,34.4,18.6,-0.74,89.6,29.344,328,768
46,el Turó de la Peira,8,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly",42.297,85.5,1155.4,3177.8,0.0,327.482,30.8,50.3,9.8,34.4,18.6,-0.12,85.1,30.28,452,1204
47,Can Peguera,2,,"Pharmacy, Day center for the elderly",44.954,82.0,1232.9,6765.5,0.0,408.344,30.8,50.3,6.5,34.4,18.6,1.73,81.4,29.55,186,359
48,la Guineueta,11,,"CAP (Primary Healthcare Center), Pharmacy",47.167,85.7,1074.1,2618.6,0.0,270.214,30.8,50.3,5.5,34.4,18.6,-0.1,104.0,25.609,248,689
49,Canyelles,5,,"Hospital & Clinic, Pharmacy, Day center for the elderly",48.552,84.1,1146.0,5371.0,0.0,189.737,30.8,50.3,8.1,34.4,18.6,1.0,97.3,23.9,86,620
50,les Roquetes,9,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",40.606,83.9,654.5,4370.7,0.0,365.549,30.8,50.3,7.6,34.4,18.6,-0.08,76.9,29.5,255,897
51,Verdun,9,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.091,84.2,891.7,3376.6,0.0,308.642,30.8,50.3,8.0,34.4,18.6,0.64,84.1,29.588,537,894
52,la Prosperitat,18,,CAP (Primary Healthcare Center),45.269,85.5,1083.6,3039.1,6.4,344.645,30.8,50.3,5.1,34.4,18.6,-0.3,91.8,28.515,451,985
53,la Trinitat Nova,7,,Pharmacy,41.605,79.6,995.4,8113.5,0.0,464.548,30.8,50.3,4.4,34.4,18.6,0.26,76.5,27.82,130,598
54,Torre Baró,1,,"Pharmacy, Day center for the elderly, Residence for the elderly",38.449,81.0,511.2,2147.2,0.0,597.692,30.8,50.3,8.0,34.4,18.6,1.81,75.9,29.55,17,136
55,Ciutat Meridiana,4,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly",39.408,85.7,704.4,3208.8,0.0,455.735,30.8,50.3,6.4,34.4,18.6,0.92,66.1,29.95,293,729
56,Vallbona,3,,Pharmacy,41.606,78.1,989.4,4666.7,0.0,156.561,30.8,50.7,6.2,34.4,18.6,0.72,74.7,28.4,23,204
57,la Trinitat Vella,9,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",39.314,85.4,568.7,3034.6,0.0,429.218,28.7,50.7,9.2,24.3,18.7,0.84,73.0,31.28,128,817
58,Baró de Viver,2,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",40.104,80.6,958.6,4703.2,0.0,252.583,28.7,50.7,7.3,24.3,18.7,3.06,77.1,28.5,115,673
59,el Bon Pastor,12,,"Day center for the elderly, CAP (Primary Healthcare Center), Pharmacy, Residence for the elderly",40.273,82.6,792.7,4411.8,0.0,260.44,28.7,50.7,6.8,24.3,18.7,-0.05,84.7,28.957,73,763
60,Sant Andreu,46,,"Pharmacy, Day center for the elderly, Residence for the elderly",44.685,85.7,869.0,2675.8,0.0,234.988,28.7,50.7,10.3,24.3,18.7,-0.91,112.3,27.69,310,758
61,la Sagrera,23,,"Pharmacy, Day center for the elderly",45.315,85.5,905.1,2239.7,0.0,339.986,28.7,50.7,8.2,24.3,18.7,-0.86,107.7,28.685,298,770
62,el Congrés i els Indians,13,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",44.378,85.5,1005.1,3324.9,0.0,197.773,28.7,50.7,6.8,24.3,18.7,-0.95,106.7,29.778,352,753
63,Navas,11,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",45.507,85.8,1008.6,3056.7,0.0,253.419,28.7,51.4,8.2,24.3,18.7,-0.6,109.0,29.562,521,984
64,el Camp de l'Arpa del Clot,29,,"Pharmacy, Residence for the elderly",44.894,84.8,971.5,2255.1,0.0,326.819,28.1,51.4,7.7,26.0,20.2,-0.6,109.9,31.168,518,894
65,el Clot,19,,"CAP (Primary Healthcare Center), Pharmacy, Residence for the elderly",44.387,85.6,765.0,2601.6,0.0,414.258,28.1,51.4,11.3,26.0,20.2,-0.76,109.8,29.371,381,1131
66,el Parc i la Llacuna del Poblenou,11,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",42.686,85.2,741.8,2336.9,0.0,354.895,28.1,51.4,5.4,26.0,20.2,-0.32,111.4,31.056,139,699
67,la Vila Olímpica del Poblenou,9,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",42.287,87.4,497.9,3135.0,0.0,251.412,28.1,51.4,8.3,26.0,20.2,-1.08,126.1,32.08,100,380
68,el Poblenou,36,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy",41.555,84.3,791.5,2944.4,4.0,284.207,28.1,51.4,11.1,26.0,20.2,-0.56,114.2,31.73,217,755
69,Diagonal Mar i el Front Marítim del Poblenou,10,,"Hospital & Clinic, Pharmacy",41.042,85.9,701.5,2265.2,0.0,282.386,28.1,51.4,8.5,26.0,20.2,-0.8,116.6,31.814,109,556
70,el Besòs i el Maresme,15,,"CAP (Primary Healthcare Center), Pharmacy",40.259,84.5,832.2,3643.2,5.3,274.841,28.1,51.4,7.8,26.0,20.2,0.02,72.4,29.715,212,913
71,Provençals del Poblenou,14,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",42.561,85.1,559.3,3608.7,0.0,277.324,28.1,51.4,5.5,26.0,20.2,-0.35,107.0,29.242,193,1368
72,Sant Martí de Provençals,15,,,45.988,85.8,1063.5,2619.6,0.0,274.53,28.1,51.4,6.6,26.0,20.2,-0.11,102.9,27.361,355,1111
73,la Verneda i la Pau,24,,,46.224,84.7,1021.4,3349.9,6.3,221.822,28.1,,5.6,26.0,20.2,-0.64,96.0,27.129,253,714
